"";"IBGE";"Municipio";"Regiao";"CatPop";"UF.x";"TransfCor";"TransfCap";"TransfTot";"RecCor";"RecCap";"RecTot";"RecProp";"GrauDep";"IPTU";"SiglaUF";"DespEduc";"DespSaude";"DespTotal";"CatDep";"UF.y";"MunicipioSemUF";"pib";"pibPerCapita";"pop";"atividadePrincipal";"arrecFed";"eh_capital";"GrauDepCapit"
"1";"1100015";"Alta Floresta D'Oeste - RO";"Norte";"menos de 50 mil";"RO";43064457,68;1841475,5;44905933,18;49174341,79;1841475,5;51015817,29;6109884,11;0,880235494900174;475209,56;"RO";15286243,56;12333892,66;45791140,51;"entre 80 e 90%";"Rondônia";"Alta Floresta D'Oeste";421042,321;16461,11;25578;"Administração, defesa, educação e saúde públicas e seguridade social";NA;FALSE;NA
"2";"1100023";"Ariquemes - RO";"Norte";"entre 50 e 500 mil";"RO";128159559,12;12909920,96;132791289,97;187542878,42;12909920,96;200452799,38;67661509,41;0,662456650047907;4922098,6;"RO";65984034,86;44230564,9;176596083,36;"entre 50 e 80%";"Rondônia";"Ariquemes";2025528,687;19401,43;104401;"Demais serviços";90301302,21;FALSE;NA
"3";"1100031";"Cabixi - RO";"Norte";"menos de 50 mil";"RO";16226162,54;3248559,38;19441791,92;18015490,35;3248559,38;21264049,73;1822257,81;0,914303350813317;92128,93;"RO";4506583,17;4338799,5;19369968,89;"mais de 90%";"Rondônia";"Cabixi";116589,888;18346,17;6355;"Administração, defesa, educação e saúde públicas e seguridade social";1013925,11;FALSE;NA
"4";"1100049";"Cacoal - RO";"Norte";"entre 50 e 500 mil";"RO";97501919,89;15586256,06;110725712,66;148583012,49;15586256,06;164169268,55;53443555,89;0,674460656601372;7250556,71;"RO";39557083,07;37981613,14;165872045,91;"entre 50 e 80%";"Rondônia";"Cacoal";1807778,561;20725,23;87226;"Demais serviços";79936679,93;FALSE;NA
"5";"1100056";"Cerejeiras - RO";"Norte";"menos de 50 mil";"RO";29290414,16;12998672,39;42149486,55;35139896,27;12998672,39;48138568,66;5989082,10999999;0,875586618449324;1289647,19;"RO";9223577,16;11726494,66;46927884,84;"entre 80 e 90%";"Rondônia";"Cerejeiras";398914,546;22179,17;17986;"Administração, defesa, educação e saúde públicas e seguridade social";7660546,4;FALSE;NA
"6";"1100064";"Colorado do Oeste - RO";"Norte";"menos de 50 mil";"RO";28229175,88;1100800;29329975,88;31956494,94;1100800;33057294,94;3727319,06;0,887246701015156;426779,79;"RO";9697295,1;8480288,9;32671758,16;"entre 80 e 90%";"Rondônia";"Colorado do Oeste";287916,74;15300,88;18817;"Administração, defesa, educação e saúde públicas e seguridade social";8957209,58;FALSE;NA
"7";"1100072";"Corumbiara - RO";"Norte";"menos de 50 mil";"RO";23358202,48;1138481,31;24361983,79;25117004,6;1138481,31;26255485,91;1893502,12;0,927881657704197;180857,71;"RO";6710880,01;5702633,67;25144819,7;"mais de 90%";"Rondônia";"Corumbiara";191442,105;21651,45;8842;"Pecuária, inclusive apoio à pecuária";2158133,7;FALSE;NA
"8";"1100080";"Costa Marques - RO";"Norte";"menos de 50 mil";"RO";22691989,21;1383154,55;24075143,76;24056133,06;1383154,55;25439287,61;1364143,85;0,946376491711829;NA;"RO";12526504,14;4437709,58;25741427,51;"mais de 90%";"Rondônia";"Costa Marques";186846,332;11221,33;16651;"Administração, defesa, educação e saúde públicas e seguridade social";1978579,11;FALSE;NA
"9";"1100098";"Espigão D'Oeste - RO";"Norte";"menos de 50 mil";"RO";43454512,31;2223050;45677562,31;58216969,38;2223050;60440019,38;14762457,07;0,755750292249493;1288682,04;"RO";14520137,04;12195004,25;49479584,92;"entre 50 e 80%";"Rondônia";"Espigão D'Oeste";481593,028;14870,87;32385;"Administração, defesa, educação e saúde públicas e seguridade social";NA;FALSE;NA
"10";"1100106";"Guajará-Mirim - RO";"Norte";"menos de 50 mil";"RO";57603141,54;539689,28;58142830,82;69817349,91;539689,28;70357039,19;12214208,37;0,826396782601732;721077,72;"RO";18783466,57;23329800,31;64191457,45;"entre 80 e 90%";"Rondônia";"Guajará-Mirim";686024,877;14711,46;46632;"Administração, defesa, educação e saúde públicas e seguridade social";20514173,03;FALSE;NA
"11";"1100114";"Jaru - RO";"Norte";"entre 50 e 500 mil";"RO";67433877,5;2710738,94;70144616,44;89515394,14;2710738,94;92226133,08;22081516,64;0,760572021155373;1237035,15;"RO";26011856,66;21478089,23;87151090,02;"entre 50 e 80%";"Rondônia";"Jaru";1232667,27;22115,38;55738;"Demais serviços";35489820,08;FALSE;NA
"12";"1100122";"Ji-Paraná - RO";"Norte";"entre 50 e 500 mil";"RO";130684986,99;13382686,05;143263719,13;193391508,56;13382686,05;206774194,61;63510475,48;0,692851056197858;5793821,01;"RO";40771689,02;56042029,59;198279637,74;"entre 50 e 80%";"Rondônia";"Ji-Paraná";2769980,537;21239,09;130419;"Demais serviços";157760923,98;FALSE;NA
"13";"1100130";"Machadinho D'Oeste - RO";"Norte";"menos de 50 mil";"RO";50319534,25;2820335,28;53139869,53;61621308,27;2820335,28;64441643,55;11301774,02;0,824620022125429;636060,55;"RO";24212347,79;13509827,4;57870026,96;"entre 80 e 90%";"Rondônia";"Machadinho D'Oeste";449927,952;12105,58;37167;"Administração, defesa, educação e saúde públicas e seguridade social";NA;FALSE;NA
"14";"1100148";"Nova Brasilândia D'Oeste - RO";"Norte";"menos de 50 mil";"RO";28882955,4;305000;28882955,4;34902957,44;305000;35207957,44;6325002,04;0,8203530536874;NA;"RO";10936150,55;8342846,41;32866117,47;"entre 80 e 90%";"Rondônia";"Nova Brasilândia D'Oeste";272511,762;12620,96;21592;"Administração, defesa, educação e saúde públicas e seguridade social";NA;FALSE;NA
"15";"1100155";"Ouro Preto do Oeste - RO";"Norte";"menos de 50 mil";"RO";52705140,7;1667155,31;54372296,01;72910684,67;1667155,31;74577839,98;20205543,97;0,729067723395869;1462973,99;"RO";18286951,36;8790395,38;65678816,14;"entre 50 e 80%";"Rondônia";"Ouro Preto do Oeste";635795,768;15925,15;39924;"Administração, defesa, educação e saúde públicas e seguridade social";17271370,36;FALSE;NA
"16";"1100189";"Pimenta Bueno - RO";"Norte";"menos de 50 mil";"RO";53048218,28;5422273,37;58470491,65;67380752,06;5422273,37;72803025,43;14332533,78;0,803132717420092;2012480,95;"RO";21167811,37;20316506,06;71530234,59;"entre 80 e 90%";"Rondônia";"Pimenta Bueno";910491,065;24271,99;37512;"Demais serviços";70153572,19;FALSE;NA
"17";"1100205";"Porto Velho - RO";"Norte";"entre 50 e 500 mil";"RO";632685042,49;15077811,17;645411890,71;1077991141,9;15077811,17;1093068953,07;447657062,36;0,590458533194354;NA;"RO";265732158,04;269294522,38;1077201678,5;"entre 50 e 80%";"Rondônia";"Porto Velho";13946783,563;27741,1;502748;"Demais serviços";1015615920,54;TRUE;0,590458533194354
"18";"1100254";"Presidente Médici - RO";"Norte";"menos de 50 mil";"RO";30357982,92;6630380,47;36988363,39;37298942,9;6630380,47;43929323,37;6940959,98;0,841997111552597;860261,51;"RO";10558936,34;11166286,05;38288199,41;"entre 80 e 90%";"Rondônia";"Presidente Médici";363384,929;16109,63;22557;"Administração, defesa, educação e saúde públicas e seguridade social";12383000,46;FALSE;NA
"19";"1100262";"Rio Crespo - RO";"Norte";"menos de 50 mil";"RO";11726890,14;878438,67;12516628,81;12799512,6;878438,67;13677951,27;1161322,46;0,915095291898931;81242,28;"RO";4082995,53;3365659,84;13564217,01;"mais de 90%";"Rondônia";"Rio Crespo";78352,369;20893,97;3750;"Pecuária, inclusive apoio à pecuária";455731,56;FALSE;NA
"20";"1100288";"Rolim de Moura - RO";"Norte";"entre 50 e 500 mil";"RO";66229270,39;1675724,56;67534504,95;96200815,54;1675724,56;97876540,1;30342035,15;0,689996856049471;NA;"RO";27512734,39;30709498,37;95318938,92;"entre 50 e 80%";"Rondônia";"Rolim de Moura";1108799,512;19714,8;56242;"Demais serviços";39510961,4;FALSE;NA
"21";"1100296";"Santa Luzia D'Oeste - RO";"Norte";"menos de 50 mil";"RO";17966967,64;3452295,95;21419263,59;20074698,43;3452295,95;23526994,38;2107730,79;0,910412237281284;146555,26;"RO";6610479,49;4778165,17;20304534,8;"mais de 90%";"Rondônia";"Santa Luzia D'Oeste";136040,164;15944,7;8532;"Administração, defesa, educação e saúde públicas e seguridade social";NA;FALSE;NA
"22";"1100304";"Vilhena - RO";"Norte";"entre 50 e 500 mil";"RO";137820850,27;13496963,36;149280830,35;200957335,39;13496963,36;214454298,75;65173468,4;0,69609623691444;5948245,25;"RO";44298607,19;59029701,42;189159742,86;"entre 50 e 80%";"Rondônia";"Vilhena";2116490,651;23055,2;91801;"Administração, defesa, educação e saúde públicas e seguridade social";104613183,7;FALSE;NA
